transaction_id,user_id,amount,transaction_type,game_type,timestamp
1,522,382.73,Bet,Table Games,2024-03-28 22:41:13
2,94,427.95,Withdrawal,Table Games,2024-11-04 01:14:12
3,613,167.2,Deposit,Sports,2026-01-24 13:29:12
4,556,437.06,Bet,Bingo,2025-12-15 10:12:50
5,26,443.49,Deposit,Slots,2024-10-05 12:49:11
6,518,393.41,Bet,Bingo,2025-05-27 09:27:52
7,286,37.11,Bet,Poker,2024-01-24 08:52:39
8,291,376.9,Bet,Bingo,2025-07-12 06:57:50
9,22,190.26,Bet,Poker,2026-06-19 00:24:49
10,750,93.6,Bet,Sports,2024-10-29 13:58:42
11,439,265.11,Withdrawal,Poker,2026-07-06 04:35:59
12,46,239.51,Bet,Poker,2025-03-31 11:14:32
13,301,320.86,Bet,Slots,2024-09-10 02:42:39
14,774,107.56,Deposit,Poker,2025-08-30 15:35:32
15,17,432.27,Withdrawal,Table Games,2025-10-31 00:36:32
16,349,156.47,Withdrawal,Bingo,2025-08-20 06:39:26
17,175,82.82,Withdrawal,Sports,2025-05-25 05:28:14
18,309,277.52,Deposit,Slots,2023-11-17 03:43:36
19,11,151.05,Bet,Sports,2026-01-29 05:03:36
20,142,118.94,Deposit,Poker,2023-09-15 02:45:17
21,858,258.57,Withdrawal,Poker,2025-05-16 07:49:59
22,292,228.32,Withdrawal,Poker,2024-11-26 21:39:24
23,367,186.92,Withdrawal,Sports,2026-02-07 00:42:47
24,178,140.14,Deposit,Table Games,2024-08-07 03:01:45
25,68,223.64,Withdrawal,Slots,2023-08-24 08:57:01
26,581,182.75,Deposit,Sports,2023-12-04 01:33:01
27,626,422.09,Bet,Bingo,2024-07-04 19:33:28
28,186,323.61,Withdrawal,Table Games,2026-05-27 16:18:08
29,925,53.71,Deposit,Sports,2025-12-24 17:36:51
30,397,23.95,Deposit,Sports,2026-01-12 06:09:59
31,442,102.34,Withdrawal,Sports,2023-08-16 10:05:01
32,120,154.84,Bet,Sports,2026-05-24 13:06:40
33,836,99.37,Bet,Table Games,2024-09-05 20:44:11
34,930,499.21,Bet,Bingo,2025-12-26 08:40:55
35,596,456.63,Deposit,Sports,2023-09-15 16:34:57
36,580,144.51,Withdrawal,Poker,2024-04-12 08:13:15
37,811,473.18,Bet,Slots,2025-07-15 02:10:45
38,669,238.64,Bet,Table Games,2025-09-28 09:00:41
39,486,433.41,Deposit,Table Games,2026-04-22 06:40:17
40,16,363.05,Deposit,Poker,2025-06-01 04:08:39
41,879,120.69,Bet,Bingo,2024-09-19 07:03:57
42,424,380.02,Bet,Poker,2024-04-22 03:02:34
43,505,173.63,Deposit,Sports,2026-01-09 11:18:26
44,599,423.67,Withdrawal,Poker,2025-05-22 07:36:26
45,411,108.74,Withdrawal,Bingo,2026-03-27 07:07:36
46,697,19.9,Deposit,Bingo,2025-08-17 01:30:13
47,662,437.51,Withdrawal,Slots,2023-12-03 22:24:02
48,936,252.4,Bet,Sports,2025-07-14 07:53:41
49,808,173.21,Withdrawal,Poker,2025-01-05 17:33:56
50,504,344.45,Withdrawal,Bingo,2025-04-09 12:57:27
51,57,153.32,Bet,Slots,2024-12-13 23:16:29
52,217,285.95,Deposit,Table Games,2024-11-24 22:33:23
53,178,81.08,Withdrawal,Bingo,2026-05-21 05:01:31
54,788,316.77,Bet,Bingo,2023-12-24 16:24:12
55,717,289.07,Withdrawal,Poker,2024-03-21 00:37:20
56,649,106.08,Withdrawal,Slots,2024-12-08 12:36:32
57,873,269.57,Deposit,Poker,2025-04-14 15:52:42
58,956,58.78,Bet,Poker,2026-06-26 18:39:58
59,149,321.31,Withdrawal,Slots,2025-08-22 21:03:40
60,925,89.85,Bet,Bingo,2024-10-04 22:10:31
61,117,92.93,Bet,Bingo,2026-05-09 11:32:30
62,577,246.86,Deposit,Table Games,2025-03-28 06:34:45
63,806,39.4,Withdrawal,Sports,2025-11-15 17:43:31
64,493,106.92,Withdrawal,Bingo,2023-09-10 04:48:19
65,364,39.64,Deposit,Sports,2025-06-20 17:46:34
66,756,261.67,Deposit,Sports,2023-11-28 23:44:39
67,150,430.56,Withdrawal,Poker,2024-11-14 18:41:12
68,807,82.73,Deposit,Table Games,2024-08-10 06:44:54
69,949,270.54,Withdrawal,Slots,2024-11-28 09:09:27
70,8,197.55,Deposit,Table Games,2024-01-11 06:30:27
71,840,435.87,Withdrawal,Poker,2025-04-03 01:22:31
72,609,409.86,Bet,Poker,2025-09-21 14:10:33
73,600,83.6,Bet,Sports,2023-07-16 23:33:07
74,886,295.81,Bet,Poker,2026-05-01 19:59:36
75,836,141.34,Deposit,Table Games,2025-11-04 01:59:33
76,994,225.64,Withdrawal,Bingo,2025-07-01 20:21:49
77,25,404.75,Bet,Sports,2025-04-17 03:37:24
78,129,455.6,Withdrawal,Poker,2023-10-07 09:30:43
79,196,234.03,Deposit,Slots,2024-05-01 14:13:16
80,55,147.52,Withdrawal,Sports,2025-09-27 13:27:31
81,564,351.66,Bet,Sports,2025-01-27 04:44:57
82,67,198.59,Deposit,Poker,2026-03-08 10:06:37
83,637,128.32,Bet,Poker,2025-08-27 13:48:25
84,212,231.62,Bet,Table Games,2026-03-12 17:33:54
85,461,350.77,Deposit,Poker,2025-05-31 21:07:06
86,650,350.83,Deposit,Table Games,2023-10-03 08:51:49
87,632,443.34,Deposit,Sports,2024-05-26 09:50:18
88,907,441.87,Bet,Sports,2024-09-02 01:12:55
89,220,335.0,Deposit,Table Games,2025-11-14 09:01:46
90,820,454.82,Withdrawal,Bingo,2024-02-03 17:09:51
91,623,65.01,Withdrawal,Slots,2024-10-04 15:08:31
92,148,378.92,Bet,Sports,2025-05-25 18:47:20
93,472,208.0,Deposit,Sports,2026-07-03 21:17:06
94,996,107.65,Deposit,Poker,2025-08-06 04:00:10
95,382,18.23,Bet,Poker,2024-01-19 19:43:47
96,264,193.67,Bet,Poker,2023-08-29 00:58:04
97,519,428.61,Withdrawal,Slots,2026-03-19 21:34:12
98,304,10.31,Deposit,Table Games,2026-02-15 01:01:05
99,908,166.92,Bet,Poker,2024-07-20 22:17:35
100,69,244.96,Deposit,Slots,2024-03-17 05:24:11
101,197,276.47,Deposit,Poker,2024-11-08 22:14:31
102,638,74.43,Withdrawal,Table Games,2025-11-16 21:24:14
103,300,89.44,Deposit,Bingo,2023-08-05 10:27:29
104,778,54.75,Withdrawal,Slots,2025-11-19 02:03:43
105,402,269.65,Withdrawal,Table Games,2025-04-08 23:37:57
106,805,43.4,Deposit,Sports,2023-12-06 23:43:41
107,769,80.98,Withdrawal,Table Games,2024-06-28 06:05:05
108,636,112.25,Deposit,Bingo,2024-01-07 10:46:27
109,104,112.0,Bet,Slots,2025-07-01 00:39:41
110,490,419.07,Bet,Slots,2024-01-13 16:05:33
111,269,198.36,Withdrawal,Poker,2026-04-16 09:00:16
112,581,30.95,Deposit,Slots,2024-03-10 09:05:48
113,261,387.34,Deposit,Table Games,2025-08-27 09:25:21
114,498,190.45,Deposit,Table Games,2024-10-10 14:01:29
115,800,50.24,Withdrawal,Slots,2025-09-12 16:45:39
116,805,494.7,Withdrawal,Table Games,2024-09-11 22:39:22
117,714,341.58,Deposit,Table Games,2025-04-20 15:14:23
118,801,479.58,Deposit,Table Games,2025-08-02 17:31:30
119,314,363.39,Deposit,Poker,2025-07-17 18:16:00
120,369,258.69,Withdrawal,Sports,2024-07-27 19:35:02
121,605,283.22,Deposit,Bingo,2025-06-23 18:52:16
122,870,107.52,Bet,Poker,2025-11-17 13:17:20
123,630,469.77,Deposit,Table Games,2024-02-24 21:16:50
124,704,110.82,Withdrawal,Sports,2025-03-02 01:45:37
125,45,90.94,Withdrawal,Sports,2024-05-06 07:06:24
126,736,10.93,Deposit,Poker,2026-01-31 07:03:13
127,453,113.95,Bet,Sports,2025-09-11 17:13:51
128,411,326.72,Withdrawal,Slots,2024-02-12 06:02:13
129,185,38.33,Deposit,Poker,2023-10-31 15:20:44
130,887,154.26,Bet,Poker,2024-09-16 07:53:12
131,654,491.64,Deposit,Bingo,2025-04-19 18:48:43
132,678,396.67,Bet,Table Games,2024-12-24 04:06:16
133,608,129.71,Deposit,Bingo,2025-09-10 22:28:11
134,383,165.56,Bet,Poker,2024-09-02 05:33:21
135,200,340.56,Bet,Table Games,2023-07-19 04:16:37
136,626,169.36,Bet,Sports,2024-09-26 13:38:19
137,776,489.12,Bet,Poker,2024-10-20 23:36:21
138,620,38.42,Deposit,Bingo,2026-01-11 23:15:41
139,881,456.49,Withdrawal,Poker,2026-01-01 01:44:52
140,823,257.96,Bet,Table Games,2026-05-05 09:00:42
141,750,254.19,Bet,Slots,2025-08-13 19:45:08
142,146,120.14,Bet,Slots,2024-03-02 00:40:33
143,234,157.88,Bet,Poker,2025-06-07 21:07:50
144,414,379.84,Bet,Slots,2025-10-28 20:22:35
145,424,34.66,Withdrawal,Poker,2025-08-05 14:11:34
146,155,151.82,Deposit,Poker,2025-01-01 07:47:25
147,285,106.17,Deposit,Table Games,2024-12-12 14:53:49
148,966,462.09,Bet,Poker,2025-11-18 13:36:35
149,759,370.93,Withdrawal,Table Games,2025-11-05 09:10:42
150,851,142.67,Bet,Slots,2025-02-20 04:02:50
151,830,262.83,Withdrawal,Sports,2025-06-21 13:06:53
152,182,376.52,Deposit,Sports,2024-11-26 01:21:58
153,169,174.65,Deposit,Bingo,2024-05-03 06:06:26
154,94,31.77,Bet,Table Games,2026-07-02 17:15:48
155,501,401.72,Bet,Table Games,2024-07-20 03:57:11
156,157,305.99,Withdrawal,Bingo,2025-12-19 10:47:54
157,243,164.21,Withdrawal,Slots,2025-03-01 02:49:31
158,437,36.99,Withdrawal,Slots,2024-07-12 00:28:34
159,294,477.06,Deposit,Table Games,2025-04-13 07:26:34
160,83,469.45,Deposit,Slots,2023-09-20 23:55:35
161,870,90.97,Bet,Table Games,2024-11-20 11:06:37
162,122,121.97,Deposit,Poker,2025-07-18 22:28:11
163,882,363.87,Withdrawal,Table Games,2026-07-14 17:26:17
164,888,362.23,Deposit,Poker,2025-02-26 09:57:52
165,151,92.34,Deposit,Sports,2025-03-05 22:41:46
166,832,146.25,Withdrawal,Table Games,2026-05-11 04:45:00
167,956,139.57,Withdrawal,Slots,2026-04-23 01:40:02
168,468,475.75,Withdrawal,Poker,2024-03-07 11:32:04
